id	tipo	fuente	x0	y0	x1	y1	rotacion_lectura	espejo_lectura	literal	valor	unidad_visible	unidad_propuesta	confianza_lectura	ubicacion	t08_ids	uso	nota
T09-R01	codigo	p20_planta	752	4	810	19	0	false	TAB-8A F-90				alta	Borde superior central	CL-M01	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R02	codigo	p20_planta	299	126	342	141	0	false	TAB-1C F-15				alta	Cabecera nicho D3	CL-M13	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R03	codigo	p20_planta	349	140	364	187	270	false	TAB-1C F-15				alta	Lateral derecho nicho D3	CL-M13	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R04	codigo	p20_planta	304	194	349	209	0	false	TAB-1C F-15				alta	Separación D1-D3 sobre armario	CL-M12	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R05	codigo	p20_planta	224	202	241	258	270	false	TAB-1C F-15				alta	Retorno izquierdo armario D1	CL-M12	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R06	codigo	p20_planta	93	264	134	279	0	false	TAB-1C F-15				alta	Separación D1-D3 hacia fachada	CL-M12	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R07	codigo	p20_planta	474	216	489	271	270	false	TAB-1C F-15				alta	Separación D1-D2, tramo superior	CL-M10	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R08	codigo	p20_planta	478	280	493	320	270	false	TAB-1C F-15				alta	Separación D1-D2 ante armario D2	CL-M10	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R09	codigo	p20_planta	545	149	565	196	270	false	TAB-1C F-15				alta	Retorno en cabecera D2	CL-M14	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R10	codigo	p20_planta	634	144	682	160	0	false	TAB-1C F-15				alta	Paño horizontal de cabecera D2	CL-M14	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R11	codigo	p20_planta	812	257	831	297	270	false	TAB-1C F-15				alta	Separación D2-baño	CL-M11	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R12	codigo	p20_planta	924	144	981	160	0	false	TAB-1D F-15				alta	Cabecera baño	CL-M15	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R13	codigo	p20_planta	1030	144	1088	160	0	false	TAB-?A F-120				media	Cabecera nicho cocina	CL-M17	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7. Lectura candidata del tipo: TAB-10A; caracteres centrales ambiguos, conservar transcripción parcial.
T09-R14	codigo	p20_planta	1036	245	1086	261	0	false	TAB-1D F-15				alta	Base nicho cocina	CL-M17	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R15	codigo	p20_planta	1007	317	1024	361	270	false	TAB-1D F-15				alta	Separación baño-cocina a mitad del baño	CL-M16	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R16	codigo	p20_planta	1022	528	1075	545	0	false	TAB-1D F-15				alta	Bajo lavaplatos de cocina	CL-M19	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R17	codigo	p20_planta	995	547	1013	590	270	false	TAB-1D F-15				alta	Retorno baño junto a logia	CL-M16	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R18	codigo	p20_planta	1192	534	1210	578	270	false	TAB-1D F-15				alta	Separación cocina-estar, tramo delgado	CL-M18	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R19	codigo	p20_planta	1197	664	1219	725	270	false	TAB-1D F-15				alta	Separación logia-comedor	CL-M18	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R20	codigo	p20_planta	1003	597	1040	616	0	false	TAB-2A F-60				alta	Cabecera volumen técnico	CL-M20	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R21	codigo	p20_planta	1049	597	1090	615	0	false	TAB-5 F-30				alta	Cabecera lavadero logia	CL-M19	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R22	codigo	p20_planta	998	650	1015	703	270	false	TAB-3A F-60				alta	Lateral baño-volumen técnico	CL-M20	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R23	codigo	p20_planta	1030	660	1048	710	270	false	TAB-3A F-60				alta	Lateral volumen técnico-logia	CL-M20	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R24	codigo	p20_planta	218	631	271	647	0	false	TAB-11A F-120				alta	Fachada inferior D1	CL-M05	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R25	codigo	p20_planta	741	631	793	647	0	false	TAB-11A F-120				alta	Fachada inferior D2	CL-M06	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R26	codigo	p20_planta	844	779	877	797	0	false	TAB-11B				alta	Paño corto junto a ventana baño	CL-M08	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7. Solo se lee TAB-11B; no añadir un sufijo F ausente.
T09-R27	codigo	p20_planta	992	779	1041	798	0	false	TAB-11A F-120				alta	Fachada inferior baño-logia	CL-M09	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-R28	codigo	p20_planta	1467	777	1524	802	0	false	TAB-11A F-120				alta	Fachada inferior comedor	CL-M09	sin_espesor_documentado	Código de tipo, no medida de espesor. Los números que siguen a F no se convierten en centímetros. Falta cuadro de composición y espesores aplicable al T7.
T09-A01	superficie	p20_pagina	17	88	124	103	0	false	76,66 m2 EDIFICADO	76.66	m2		alta	Encabezado: superficie edificada	CL-A04	contraste_T13	Dato documental, no medición geométrica. La mención de 0,00 m2 no demuestra la inexistencia de la zona exterior dibujada.
T09-A02	superficie	p20_pagina	132	88	222	103	0	false	0,00 m2 TERRAZA	0	m2		alta	Encabezado: superficie de terraza	CL-A04	contraste_T13	Dato documental, no medición geométrica. La mención de 0,00 m2 no demuestra la inexistencia de la zona exterior dibujada.
T09-A03	superficie	p20_pagina	17	103	102	118	0	false	TOTAL 76,66 m2	76.66	m2		alta	Encabezado: superficie total	CL-A04	contraste_T13	Dato documental, no medición geométrica. La mención de 0,00 m2 no demuestra la inexistencia de la zona exterior dibujada.
T09-A04	superficie	p20_planta	1292	78	1400	103	0	false	SUP: 76,80 m2	76.80	m2		alta	Rótulo dentro de la planta	CL-A04	contraste_T13	Difiere en 0,14 m2 del encabezado; resolver perímetro de cómputo y área útil en T13.
T09-B01	complementaria	p23_obj210	1535	419	1780	463	0	false	PERFILES 150 MM	150	mm		alta	Página 23, detalle Galaxy DS49, perfiles		no_atribuir_T7	Dimensión de perfiles de un sistema ilustrado. No acredita espesor terminado de los tabiques del T7.
T09-B02	complementaria	p23_obj210	1095	1268	1460	1325	0	false	DESCARGA SANITARIA 110 MM	110	mm		alta	Página 23, detalle Galaxy DS49, descarga		no_atribuir_T7	Dimensión de instalación sanitaria genérica, no medida arquitectónica ni espesor de muro del T7.
T09-B03	complementaria	p24_obj222	187	6	244	22	0	true	267,5	267.5		cm	media	Página 24, diagrama de supertabique, cota horizontal		no_atribuir_T7	Lectura probable; unidad no explícita y sin identificación T7. La imagen embebida tiene texto reflejado; se refleja solo el recorte de lectura.
T09-B04	complementaria	p24_obj222	0	0	407	364	0	true	Diagrama acotado: otras cotas parciales				baja	Página 24, diagrama de instalaciones		no_atribuir_T7	Hay cotas verticales y parciales y diámetros de tuberías. No se certifican altura, unidades generales ni vinculación al T7; tampoco corresponde medir la losa o el cielo con esta figura.
